Hue0	Hue1	Hue2	Hue3	Hue4	Hue5	Hue6	Hue7	Hue8	Hue9	Hue10	Hue11	Hue12	Hue13	Hue14	Hue15	Length0	Length1	Length2	Length3	Length4	Length5	Length6	Length7	Length8	Length9	Angle0	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	Angle7	Angle8	Angle9	type
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	s1 s2 s3
																																				class
0.004	0.035	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.808	2.494	2.803	1.971	1.045	0.380	0.166	0.095	0.190	0.048	0.000	0.000	0.004	0.005	0.002	0.004	0.007	0.006	0.000	0.000	s3
0.006	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.689	1.771	1.226	1.090	1.253	0.518	0.981	1.199	0.163	0.109	0.000	0.000	0.008	0.005	0.002	0.002	0.004	0.007	0.000	0.000	s3
0.005	0.052	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.640	1.508	1.429	1.429	0.926	1.058	1.402	0.423	0.159	0.026	0.000	0.000	0.007	0.004	0.002	0.002	0.005	0.007	0.000	0.000	s3
0.005	0.052	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.711	1.911	2.911	1.711	0.756	1.067	0.556	0.133	0.244	0.000	0.000	0.000	0.007	0.005	0.002	0.003	0.004	0.006	0.000	0.000	s3
0.006	0.056	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.083	1.306	1.556	2.556	2.278	0.556	0.472	0.194	0.000	0.000	0.000	0.000	0.010	0.004	0.002	0.003	0.004	0.005	0.000	0.000	s3
0.006	0.048	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	1.811	1.892	1.838	1.378	1.189	0.865	0.595	0.297	0.108	0.027	0.000	0.000	0.012	0.004	0.002	0.002	0.003	0.005	0.000	0.000	s3
0.006	0.048	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.804	1.804	2.783	1.761	1.065	0.891	0.565	0.109	0.174	0.043	0.000	0.000	0.006	0.004	0.003	0.003	0.004	0.008	0.000	0.000	s3
0.008	0.033	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.998	1.996	2.399	1.932	0.913	0.955	0.403	0.318	0.085	0.000	0.000	0.000	0.006	0.005	0.003	0.004	0.005	0.005	0.000	0.000	s3
0.006	0.044	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.738	1.714	1.410	1.584	1.518	1.302	1.193	0.369	0.130	0.043	0.000	0.000	0.010	0.005	0.003	0.003	0.004	0.003	0.000	0.000	s3
0.006	0.051	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.805	2.081	2.349	1.544	2.013	0.403	0.358	0.157	0.179	0.112	0.000	0.000	0.006	0.004	0.002	0.002	0.003	0.010	0.000	0.000	s3
0.007	0.048	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.236	1.071	1.676	1.593	1.538	1.044	0.852	0.604	0.192	0.192	0.000	0.000	0.011	0.005	0.002	0.002	0.003	0.004	0.000	0.000	s3
0.005	0.036	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.952	1.950	2.472	2.200	1.429	0.227	0.227	0.317	0.181	0.045	0.000	0.000	0.004	0.007	0.002	0.004	0.004	0.006	0.000	0.000	s3
0.008	0.053	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.775	1.500	2.550	1.625	1.175	0.825	1.050	0.250	0.225	0.025	0.000	0.000	0.005	0.005	0.004	0.004	0.005	0.005	0.000	0.000	s3
0.008	0.049	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.859	1.288	2.374	2.298	0.783	0.884	0.960	0.379	0.152	0.025	0.000	0.000	0.007	0.006	0.002	0.003	0.004	0.005	0.000	0.000	s3
0.006	0.046	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.733	2.329	1.460	0.932	1.056	0.466	0.373	0.062	0.155	0.435	0.000	0.000	0.020	0.002	0.001	0.000	0.000	0.004	0.000	0.000	s3
0.007	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.903	1.051	1.278	1.591	1.364	0.852	1.023	0.511	0.227	0.199	0.000	0.000	0.014	0.003	0.001	0.001	0.003	0.005	0.000	0.000	s3
